Title,Author,From,Pages,Year,Started At,Status,Type,Tags,On Page,Progress,Rank
Hereges,G. K. Chesterton,1905,308,,13/06/2024,Reading,Expositivo,"Filosofia, Teologia",86,28,1
"Moeda, Crédito Bancário
e Ciclos Econômicos",Jesus Huerta de Soto,1998,665,2024,06/10/2023,Reading,Expositivo,Economia,379,57,1
Contos de Horror do Século XIX,Vários,2005,552,,25/06/2023,Paused,Ficção,Horror,76,14,2
Memórias do Subsolo,Fiódor Dostoiévski,1864,147,2024,04/06/2024 → 09/06/2024,Finished,Ficção,Romance,,,3
Ortodoxia,G. K. Chesterton,1908,211,2024,02/05/2024 → 02/06/2024,Finished,Expositivo,"Filosofia, Teologia",,,3
Holodomor. O Holocausto Esquecido,Miron Dolot,1985,336,2024,08/04/2024 → 21/04/2024,Finished,Expositivo,História,,,3
Crime e Castigo,Fiódor Dostoiévski,1866,563,2024,11/03/2024 → 04/04/2024,Finished,Ficção,Romance,,,3
Deuses Americanos,Neil Gaiman,2001,480,2024,05/02/2024 → 07/03/2024,Finished,Ficção,,,,3
1984,George Orwell,1949,346,2024,19/01/2024 → 03/02/2024,Finished,Ficção,,,,3
Um dia na vida de Ivan Denissovitch,Aleksandr Soljenítsyn,1962,200,2024,17/01/2024 → 19/01/2024,Finished,Ficção,Romance,,,3
Arquipélago Gulag,Aleksandr Soljenítsyn,1973,704,2024,14/12/2023 → 16/01/2024,Finished,Expositivo,História,,,3
O iluminado,Stephen King,1977,464,2023,04/12/2023 → 12/12/2023,Finished,Ficção,Horror,,,3
Bitcoin - A moeda na era digital,Fernando Ulrich,2014,123,2023,12/11/2023 → 01/12/2023,Finished,Expositivo,Economia,,,3
História dos Estados Unidos: sem Mitos,Marcelo Andrade,2023,223,2023,12/10/2023 → 10/11/2023,Finished,Expositivo,História,,,3
Dez lições fundamentais de economia austríaca,Ubiratan J. Iorio,2013,70,2023,26/09/2023 → 28/09/2023,Finished,Expositivo,Economia,,,3
O que o governo fez com o nosso dinheiro?,Murray N. Rothbard,1963,105,2023,10/09/2023 → 22/09/2023,Finished,Expositivo,Economia,,,3
O Restaurante no Fim do Universo,Douglas Adams,1980,229,2023,08/08/2023 → 21/08/2023,Finished,Ficção,Sci-fi,,,3
Os Erros Fatais do Socialismo,Friedrich August von Hayek,1988,237,2023,08/08/2023 → 26/08/2023,Finished,Expositivo,"Economia, Filosofia",,,3
O Guia do Mochileiro das Galaxias,Douglas Adams,1979,204,2023,29/07/2023 → 08/08/2023,Finished,Ficção,Sci-fi,,,3
A revolução dos bichos,George Orwell,1945,96,2023,09/07/2023 → 10/07/2023,Finished,Ficção,História,,,3
O Caminho da Servidão,Friedrich August von Hayek,1944,232,2023,07/07/2023 → 05/08/2023,Finished,Expositivo,"Economia, Prático",,,3
O Essencial da Escola Austríaca de Economia,"Christopher J. Coyne, Peter J. Boettke",2020,112,2023,05/07/2023 → 06/07/2023,Finished,Expositivo,Economia,,,3
O que se vê e o que não se vê,Frédéric Bastiat,1849,160,2023,01/07/2023 → 04/07/2023,Finished,Expositivo,Economia,,,3
A Vida Intelectual,A.-D. Sertillanges,1921,217,2023,18/06/2023 → 27/06/2023,Finished,Expositivo,Prático,,,3
A Lei,Frédéric Bastiat,1850,128,2023,17/06/2023 → 18/06/2023,Finished,Expositivo,Prático,,,3
O Retorno do Rei,J.R.R. Tolkien,1954,450,2023,21/05/2023 → 23/06/2023,Finished,Ficção,Fantasia,315,,3
Como Ler Livros,"Charler Van Doren, Mortimer J. Adler",1940,432,2023,03/05/2023 → 02/06/2023,Finished,Expositivo,Prático,,,3
A Origem do dinheiro,Carl Menger,1892,52,2023,26/04/2023 → 28/04/2023,Finished,Expositivo,Economia,,,3
